,number_of_qubits,qft_variant,process_fidelity
340,36,QCTRLFowlerQFT,0.032928835167909516
341,36,QCTRLFowlerQFT,0.03580980499245452
342,36,QCTRLFowlerQFT,0.0301780744068754
343,36,QCTRLFowlerQFT,0.034450123250958455
344,36,QCTRLFowlerQFT,0.03671865350148849
345,36,QCTRLFowlerQFT,0.03321097605563141
346,36,QCTRLFowlerQFT,0.034828347558400995
347,36,QCTRLFowlerQFT,0.03588860013856238
348,36,QCTRLFowlerQFT,0.033510011230919984
349,36,QCTRLFowlerQFT,0.03600884714843528
350,36,QCTRLFowlerQFT,0.0355671788151088
351,36,QCTRLFowlerQFT,0.037584156844799245
352,36,QCTRLFowlerQFT,0.03131884560280974
353,36,QCTRLFowlerQFT,0.03386461121043654
354,36,QCTRLFowlerQFT,0.03499794279363703
355,36,QCTRLFowlerQFT,0.03381921658385196
356,36,QCTRLFowlerQFT,0.03249752371597739
357,36,QCTRLFowlerQFT,0.033502723336536366
358,36,QCTRLFowlerQFT,0.03336232238243832
359,36,QCTRLFowlerQFT,0.031954013920162276
360,38,QCTRLFowlerQFT,0.019496680154076174
361,38,QCTRLFowlerQFT,0.02115753702373939
362,38,QCTRLFowlerQFT,0.020530337607146003
363,38,QCTRLFowlerQFT,0.021994689023142753
364,38,QCTRLFowlerQFT,0.018752235183519768
365,38,QCTRLFowlerQFT,0.019983929361949856
366,38,QCTRLFowlerQFT,0.018879591210267607
367,38,QCTRLFowlerQFT,0.02135856208329588
368,38,QCTRLFowlerQFT,0.02188246823227262
369,38,QCTRLFowlerQFT,0.020610765667855052
370,38,QCTRLFowlerQFT,0.020312850069486542
371,38,QCTRLFowlerQFT,0.021501874278120107
372,38,QCTRLFowlerQFT,0.022828720771893487
373,38,QCTRLFowlerQFT,0.018949994621707305
374,38,QCTRLFowlerQFT,0.02028353908903287
375,38,QCTRLFowlerQFT,0.021275499042436474
376,38,QCTRLFowlerQFT,0.020482439057704444
377,38,QCTRLFowlerQFT,0.01900043787948975
378,38,QCTRLFowlerQFT,0.0212404908899768
379,38,QCTRLFowlerQFT,0.0205803558414187
380,40,QCTRLFowlerQFT,0.0004725391338279895
381,40,QCTRLFowlerQFT,0.000436186157809792
382,40,QCTRLFowlerQFT,0.0003992589587442176
