number_of_qubits,qft_variant,process_fidelity,backend,bootstrap sample size,number bootstrap samples,data file
6,Twine Heavy-Hex QFT,0.854758825403789,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8496254258075725,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8556897081617704,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8528565440407481,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
6,Twine Heavy-Hex QFT,0.8504326742218893,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7805743527777839,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7852750539183899,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7817591045580463,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7771862874868637,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7801911918210203,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7807457652734945,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7761764249834742,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7753330639899113,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7778829225051477,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7790203326026445,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7824624651582691,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7782967143159731,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.777267494284085,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7798995220989939,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7776222553769901,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7785023714565915,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7837340871962786,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7786455227692282,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7783252459005708,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
8,Twine Heavy-Hex QFT,0.7781281533182084,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7500256063333021,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.747732142914333,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7547408767158313,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7477258140472394,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7508253348647723,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7529218393140231,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7472842576557697,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7514291519689702,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.750325563565587,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7504911274112885,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7485407326348804,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7487456733448495,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.753589289661413,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.752669763371124,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7489614268112625,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7552558754521905,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7485583452209322,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7537039179296898,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7480808171582712,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
10,Twine Heavy-Hex QFT,0.7516671862550877,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
12,Twine Heavy-Hex QFT,0.6968091836415546,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
12,Twine Heavy-Hex QFT,0.6906197119294273,ibm_boston,20,20,~/Nextcloud/Projects/IBM/qft_experiments/analysis_boston_heavy_hex_non_synchronized_layouting_dd_10-02-2026.json.gz
